AGI code	Annotation
AT2G36950	heavy-metal-associated domain-containing protein
AT2G36880	MAT3 (METHIONINE ADENOSYLTRANSFERASE 3); methionine adenosyltransferaseMAT3 (METHIONINE ADENOSYLTRANSFERASE 3)
AT2G04400	"Aldolase-type TIM barrel family protein; FUNCTIONS IN: indole-3-glycerol-phosphate synthase activity, copper ion binding; INVOLVED IN: tryptophan biosynthetic process; LOCATED IN: chloroplast; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), Ribulose-phosphate binding barrel (InterPro:IPR011060), Indole-3-glycerol phosphate synthase, conserved site (InterPro:IPR001468), Indole-3-glycerol phosphate synthase (InterPro:IPR013798); BEST Arabidopsis thaliana protein match is: Aldolase-type TIM barrel family protein (TAIR:AT5G48220.1); Has 8050 Blast hits to 8050 proteins in 2237 species: Archae - 197; Bacteria - 5328; Metazoa - 3; Fungi - 164; Plants - 82; Viruses - 0; Other Eukaryotes - 2276 (source: NCBI BLink)."
AT2G23990	"early nodulin-like protein 11 (ENODL11); FUNCTIONS IN: electron carrier activity, copper ion binding; LOCATED IN: anchored to membrane; EXPRESSED IN: central cell, embryo; EXPRESSED DURING: C globular stage; CONTAINS InterPro DOMAIN/s: Plastocyanin-like (InterPro:IPR003245), Cupredoxin (InterPro:IPR008972); BEST Arabidopsis thaliana protein match is: early nodulin-like protein 12 (TAIR:AT4G30590.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."
AT2G32300	UCC1 (UCLACYANIN 1); copper ion binding
AT2G28660	copper-binding family protein
AT3G02960	copper-binding protein-related
AT3G23940	"dehydratase family; CONTAINS InterPro DOMAIN/s: Dihydroxy-acid dehydratase (InterPro:IPR004404), Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site (InterPro:IPR020558), Dihydroxy-acid/6-phosphogluconate dehydratase (InterPro:IPR000581)."
AT3G58610	"ketol-acid reductoisomerase; CONTAINS InterPro DOMAIN/s: Acetohydroxy acid isomeroreductase, catalytic (InterPro:IPR013116), 6-phosphogluconate dehydrogenase, C-terminal-like (InterPro:IPR008927), Dehydrogenase, multihelical (InterPro:IPR013328), Acetohydroxy acid isomeroreductase C-terminal (InterPro:IPR000506), Ketol-acid reductoisomerase (InterPro:IPR016206), Acetohydroxy acid isomeroreductase (InterPro:IPR013023), NAD(P)-binding domain (InterPro:IPR016040)."
AT3G56240	CCH (COPPER CHAPERONE)
AT3G43670	"copper amine oxidase, putative"
AT3G60270	"uclacyanin, putative"
AT3G60280	UCC3 (UCLACYANIN 3); copper ion binding
AT3G09390	MT2A (METALLOTHIONEIN 2A)
AT3G09200	"Ribosomal protein L10 family protein; FUNCTIONS IN: structural constituent of ribosome, copper ion binding; INVOLVED IN: in 6 processes; LOCATED IN: cytosol, cytosolic ribosome, ribosome, nucleus, plasma membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein 60S (InterPro:IPR001813); BEST Arabidopsis thaliana protein match is: Ribosomal protein L10 family protein (TAIR:AT3G11250.1); Has 1417 Blast hits to 1416 proteins in 449 species: Archae - 322; Bacteria - 1; Metazoa - 456; Fungi - 192; Plants - 147; Viruses - 0; Other Eukaryotes - 299 (source: NCBI BLink)."
AT3G53330	plastocyanin-like domain-containing protein
AT3G53530	heavy-metal-associated domain-containing proteinheavy-metal-associated domain-containing protein
AT3G52930	"Aldolase superfamily protein; FUNCTIONS IN: copper ion binding; INVOLVED IN: response to cadmium ion, response to karrikin, response to salt stress, pentose-phosphate shunt; LOCATED IN: in 8 components; EXPRESSED IN: 29 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Aldolase-type TIM barrel (InterPro:IPR013785), Fructose-bisphosphate aldolase, class-I (InterPro:IPR000741); BEST Arabidopsis thaliana protein match is: Aldolase superfamily protein (TAIR:AT2G36460.1); Has 5003 Blast hits to 4997 proteins in 974 species: Archae - 0; Bacteria - 709; Metazoa - 1414; Fungi - 8; Plants - 477; Viruses - 0; Other Eukaryotes - 2395 (source: NCBI BLink)."
AT3G20570	plastocyanin-like domain-containing protein
AT3G15020	"Lactate/malate dehydrogenase family protein; FUNCTIONS IN: malate dehydrogenase activity, copper ion binding; INVOLVED IN: defense response to bacterium; LOCATED IN: mitochondrion, apoplast, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Lactate/malate dehydrogenase, C-terminal (InterPro:IPR022383), Malate dehydrogenase, NAD-dependent, eukaryote/gamma proteobacteria (InterPro:IPR010097), NAD(P)-binding domain (InterPro:IPR016040), L-lactate/malate dehydrogenase (InterPro:IPR001557), Lactate/malate dehydrogenase, N-terminal (InterPro:IPR001236), Malate dehydrogenase, active site (InterPro:IPR001252), Lactate dehydrogenase/glycoside hydrolase, family 4, C-terminal (InterPro:IPR015955); BEST Arabidopsis thaliana protein match is: Lactate/malate dehydrogenase family protein (TAIR:AT1G53240.1); Has 16805 Blast hits to 16803 proteins in 5273 species: Archae - 237; Bacteria - 11900; Metazoa - 1175; Fungi - 513; Plants - 469; Viruses - 0; Other Eukaryotes - 2511 (source: NCBI BLink)."
AT3G27200	plastocyanin-like domain-containing protein
AT3G18590	plastocyanin-like domain-containing protein
AT3G20180	Copper transport protein family; BEST Arabidopsis thaliana protein match is: Domain of unknown function (DUF2431) (TAIR:AT1G55790.1); Has 234 Blast hits to 232 proteins in 14 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 234; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink).
AT3G13930	"Dihydrolipoamide acetyltransferase, long form protein; FUNCTIONS IN: dihydrolipoyllysine-residue acetyltransferase activity, copper ion binding; INVOLVED IN: pyruvate metabolic process, metabolic process; LOCATED IN: mitochondrion, chloroplast, chloroplast envelope; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: 2-oxo acid dehydrogenase, lipoyl-binding site (InterPro:IPR003016), Dihydrolipoamide acetyltransferase, long form (InterPro:IPR006257), E3 binding (InterPro:IPR004167), 2-oxoacid dehydrogenase acyltransferase, catalytic domain (InterPro:IPR001078), Single hybrid motif (InterPro:IPR011053), Biotin/lipoyl attachment (InterPro:IPR000089); BEST Arabidopsis thaliana protein match is: Dihydrolipoamide acetyltransferase, long form protein (TAIR:AT1G54220.2); Has 21425 Blast hits to 19790 proteins in 2331 species: Archae - 106; Bacteria - 12026; Metazoa - 730; Fungi - 474; Plants - 369; Viruses - 0; Other Eukaryotes - 7720 (source: NCBI BLink)."
AT3G16700	"Fumarylacetoacetate (FAA) hydrolase family; FUNCTIONS IN: copper ion binding, catalytic activity; INVOLVED IN: metabolic process; LOCATED IN: cellular_component unknown; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Fumarylacetoacetase, C-terminal-like (InterPro:IPR002529), Fumarylacetoacetase, C-terminal-related (InterPro:IPR011234); BEST Arabidopsis thaliana protein match is: Fumarylacetoacetate (FAA) hydrolase family (TAIR:AT4G15940.1); Has 9692 Blast hits to 9562 proteins in 1885 species: Archae - 224; Bacteria - 6431; Metazoa - 295; Fungi - 422; Plants - 61; Viruses - 0; Other Eukaryotes - 2259 (source: NCBI BLink)."
AT3G21490	copper-binding family protein
AT3G13772	Encodes an Arabidopsis Transmembrane nine (TMN) protein.  Transmembrane nine (TM9) proteins are localized in the secretory pathway of eukaryotic cells and are involved in cell adhesion and phagocytosis.  Overexpression of this protein in yeast alters copper and zinc homeostasis.
AT3G13390	SKS11 (SKU5 Similar 11); copper ion binding / oxidoreductase
AT3G13400	SKS13 (SKU5 Similar 13); copper ion binding / oxidoreductase
AT3G29250	oxidoreductase
AT3G24450	copper-binding family protein
AT3G08950	electron transport SCO1/SenC family protein
AT3G52300	"ATP synthase D chain, mitochondrial (ATPQ); FUNCTIONS IN: copper ion binding, zinc ion binding; INVOLVED IN: response to salt stress; LOCATED IN: mitochondrion, cytosolic ribosome, nucleolus, chloroplast, plasma membrane; EXPRESSED IN: 27 plant structures; EXPRESSED DURING: 16 growth stages; Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink)."
AT3G43820	"pseudogene, copper amine oxidase protein family, similar to SP|Q43077 Amine oxidase (copper-containing) precursor (EC 1.4.3.6) {Pisum sativum}; contains Pfam profile PF01179: Copper amine oxidase, enzyme domain; blastp match of 57% identity and 2.6e-48 P-value to GP|5733089|gb|AAD49420.1|AF172681_1|AF172681 amine oxidase {Canavalia lineata}"
AT3G48970	copper-binding family protein
AT3G01070	plastocyanin-like domain-containing protein
AT3G45740	"hydrolase family protein / HAD-superfamily protein; FUNCTIONS IN: copper ion binding, zinc ion binding; INVOLVED IN: metabolic process; LOCATED IN: mitochondrion; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: HAD-superfamily hydrolase, subfamily IIA, CECR5 (InterPro:IPR006353), HAD-superfamily hydrolase, subfamily IIA (InterPro:IPR006357); Has 548 Blast hits to 526 proteins in 159 species: Archae - 8; Bacteria - 6; Metazoa - 128; Fungi - 307; Plants - 36; Viruses - 0; Other Eukaryotes - 63 (source: NCBI BLink)."
AT3G46900	COPT2 (Copper transporter 2); copper ion transmembrane transporter
AT4G37160	SKS15 (SKU5 Similar 15); copper ion binding
AT4G05400	copper ion binding; FUNCTIONS IN: copper ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G21140.1); Has 35333 Blast hits to 34131 proteins in 2444 species: Archae - 798; Bacteria - 22429; Metazoa - 974; Fungi - 991; Plants - 531; Viruses - 0; Other Eukaryotes - 9610 (source: NCBI BLink).
AT4G31840	plastocyanin-like domain-containing protein
AT4G30590	plastocyanin-like domain-containing protein
AT4G33520	"PAA1 (metal-transporting P-type ATPase 1); ATPase, coupled to transmembrane movement of ions, phosphorylative mechanismPAA1 (metal-transporting P-type ATPase 1)PAA1 (metal-transporting P-type ATPase 1)"
AT4G22010	SKS4 (SKU5 Similar 4); copper ion binding / oxidoreductase
AT4G38420	SKS9 (SKU5 Similar 9); copper ion binding / oxidoreductase
AT4G01380	plastocyanin-like domain-containing protein
AT4G32610	copper ion binding; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT2G25670.2); Has 53099 Blast hits to 32361 proteins in 2088 species: Archae - 115; Bacteria - 8255; Metazoa - 19472; Fungi - 6714; Plants - 2333; Viruses - 365; Other Eukaryotes - 15845 (source: NCBI BLink).
AT4G21140	BEST Arabidopsis thaliana protein match is: copper ion binding (TAIR:AT4G05400.2); Has 41 Blast hits to 41 proteins in 16 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 40; Viruses - 0; Other Eukaryotes - 1 (source: NCBI BLink).
AT4G32490	plastocyanin-like domain-containing protein
AT4G23670	major latex protein-related / MLP-related
AT4G14940	ATAO1 (Arabidosis thaliana amine oxidase 1); copper ion binding
AT4G15940	"Fumarylacetoacetate (FAA) hydrolase family; FUNCTIONS IN: copper ion binding, catalytic activity; INVOLVED IN: metabolic process; LOCATED IN: mitochondrion; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Fumarylacetoacetase, C-terminal-like (InterPro:IPR002529), Fumarylacetoacetase, C-terminal-related (InterPro:IPR011234); BEST Arabidopsis thaliana protein match is: Fumarylacetoacetate (FAA) hydrolase family (TAIR:AT3G16700.1); Has 10822 Blast hits to 10670 proteins in 1907 species: Archae - 249; Bacteria - 6730; Metazoa - 306; Fungi - 435; Plants - 75; Viruses - 0; Other Eukaryotes - 3027 (source: NCBI BLink)."
AT4G28090	SKS10 (SKU5 Similar 10); copper ion binding / oxidoreductase
AT4G39740	electron transport SCO1/SenC family protein
AT4G12420	SKU5 (skewed 5); copper ion binding
AT4G12880	plastocyanin-like domain-containing protein
AT4G27590	"Heavy metal transport/detoxification superfamily protein ; FUNCTIONS IN: copper ion binding, metal ion binding; INVOLVED IN: copper ion transport, metal ion transport; LOCATED IN: cellular_component unknown; EXPRESSED IN: 8 plant structures; EXPRESSED DURING: 6 growth stages; CONTAINS InterPro DOMAIN/s: Heavy metal transport/detoxification protein (InterPro:IPR006121); BEST Arabidopsis thaliana protein match is: Heavy metal transport/detoxification superfamily protein  (TAIR:AT3G56891.1); Has 739 Blast hits to 739 proteins in 27 species: Archae - 0; Bacteria - 0; Metazoa - 4; Fungi - 0; Plants - 735; Viruses - 0; Other Eukaryotes - 0 (source: NCBI BLink)."
AT4G12270	copper amine oxidase family protein
AT4G12280	copper amine oxidase family protein
AT4G12290	"copper amine oxidase, putative"
AT4G12340	copper ion binding; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
AT4G01850	MAT2/SAM-2 (S-adenosylmethionine synthetase 2); methionine adenosyltransferaseMAT2/SAM-2 (S-adenosylmethionine synthetase 2)
AT5G18830	Encodes a member of the Squamosa Binding Protein family of transcriptional regulators. SPL7 is expressed highly in roots and appears to play a role in copper homeostasis. Mutants are hypersensitive to copper deficient conditions and display a retarded growth phenotype. SPL7 binds to the promoter  of the copper responsive miRNAs miR398b and miR389c.
AT5G20080	"FAD/NAD(P)-binding oxidoreductase; FUNCTIONS IN: cytochrome-b5 reductase activity, copper ion binding; INVOLVED IN: response to salt stress; LOCATED IN: mitochondrion, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Oxidoreductase FAD/NAD(P)-binding (InterPro:IPR001433), Oxidoreductase, FAD-binding domain (InterPro:IPR008333), Riboflavin synthase-like beta-barrel (InterPro:IPR017938), Flavoprotein pyridine nucleotide cytochrome reductase (InterPro:IPR001709), NADH:cytochrome b5 reductase (CBR) (InterPro:IPR001834); BEST Arabidopsis thaliana protein match is: NADH:cytochrome B5 reductase 1 (TAIR:AT5G17770.1); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink)."
AT5G59520	encodes a metal ion transporter whose expression is regulated by copper.
AT5G20230	ATBCB (ARABIDOPSIS BLUE-COPPER-BINDING PROTEIN); copper ion binding
AT5G52740	Copper transport protein family; FUNCTIONS IN: metal ion binding; INVOLVED IN: metal ion transport; LOCATED IN: cellular_component unknown; EXPRESSED IN: 11 plant structures; EXPRESSED DURING: 8 growth stages; CONTAINS InterPro DOMAIN/s: Heavy metal transport/detoxification protein (InterPro:IPR006121); BEST Arabidopsis thaliana protein match is: Copper transport protein family (TAIR:AT5G52760.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
AT5G52750	Heavy metal transport/detoxification superfamily protein ; FUNCTIONS IN: metal ion binding; INVOLVED IN: metal ion transport; LOCATED IN: cellular_component unknown; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: Heavy metal transport/detoxification protein (InterPro:IPR006121); BEST Arabidopsis thaliana protein match is: Copper transport protein family (TAIR:AT5G52760.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
AT5G52670	Copper transport protein family; BEST Arabidopsis thaliana protein match is: Copper transport protein family (TAIR:AT5G52720.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
