AGI code	Annotation
AT1G17060	"Encodes a protein with similarity to other cytochrome P450's and is a homolog of BAS1. Over expression causes a dwarf phenotype resembling brassinolide resistant mutants. Double mutant analysis of sob7/bas1 loss of function mutants suggests these genes have redundant functions in light responsiveness. SOB7 may function in metabolizing brassinolides. Expressed in leaf, root, stem and silique but expression highest in flower and cauline leaves. Dominant overexpressing plants have dwarf phenotype, short siliques/seeds, rounded dark green leaves and short hypocotyls in light and dark. Loss of function alleles result in plants with long hypocotyls."
AT1G17100	"SOUL heme-binding family protein; FUNCTIONS IN: binding; INVOLVED IN: biological_process unknown; LOCATED IN: plasma membrane, vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: SOUL haem-binding protein (InterPro:IPR006917); BEST Arabidopsis thaliana protein match is: SOUL heme-binding family protein (TAIR:AT1G78450.1); Has 1175 Blast hits to 1144 proteins in 91 species: Archae - 10; Bacteria - 83; Metazoa - 242; Fungi - 0; Plants - 115; Viruses - 0; Other Eukaryotes - 725 (source: NCBI BLink)."
AT1G19230	"respiratory burst oxidase protein E (RbohE) / NADPH oxidase; FUNCTIONS IN: in 7 functions; INVOLVED IN: defense response; LOCATED IN: integral to membrane, membrane; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Ferredoxin reductase-type FAD-binding domain (InterPro:IPR017927), Cytochrome b245, heavy chain (InterPro:IPR000778), EF-HAND 1 (InterPro:IPR018247), EF-Hand type (InterPro:IPR011992), EF hand (InterPro:IPR018248), Ferric reductase-like transmembrane component, N-terminal (InterPro:IPR013130), NADPH oxidase Respiratory burst (InterPro:IPR013623), Ferric reductase, NAD binding (InterPro:IPR013121), EF-HAND 2 (InterPro:IPR018249), FAD-binding 8 (InterPro:IPR013112), Riboflavin synthase-like beta-barrel (InterPro:IPR017938); BEST Arabidopsis thaliana protein match is: ATRBOH F (ARABIDOPSIS THALIANA RESPIRATORY BURST OXIDASE PROTEIN F); NAD(P)H oxidase (TAIR:AT1G64060.1); Has 1639 Blast hits to 1528 proteins in 273 species: Archae - 4; Bacteria - 228; Metazoa - 607; Fungi - 399; Plants - 264; Viruses - 0; Other Eukaryotes - 137 (source: NCBI BLink)."
AT1G20630	Catalyzes the reduction of hydrogen peroxide using heme group as cofactor. Protects cells from toxicity by H2O2.
AT1G22450	subunit 6b of cytochrome c oxidase
AT1G22840	"Encodes cytochrome c. Contains two site II (TGGGCC/T) elements, which interact with a  TCP-domain transcription factor, and a downstream  internal telomeric repeat, and are required for expression of the Cytc-1 gene. Promoter directs preferential expression in root and shoot meristems and in anthers."
AT1G24110	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: male gametophyte, sepal, flower, pollen tube; EXPRESSED DURING: L mature pollen stage, M germinated pollen stage, 4 anthesis; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT5G47000.1); Has 3151 Blast hits to 3137 proteins in 243 species: Archae - 0; Bacteria - 4; Metazoa - 2; Fungi - 302; Plants - 2795; Viruses - 0; Other Eukaryotes - 48 (source: NCBI BLink)."
AT1G26100	"cytochrome B561 family protein; FUNCTIONS IN: carbon-monoxide oxygenase activity; LOCATED IN: endomembrane system, integral to membrane; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome b561, eukaryote (InterPro:IPR004877), Cytochrome b561/ferric reductase transmembrane (InterPro:IPR006593); BEST Arabidopsis thaliana protein match is: ACYB-1; carbon-monoxide oxygenase (TAIR:AT5G38630.1); Has 437 Blast hits to 437 proteins in 71 species: Archae - 0; Bacteria - 0; Metazoa - 323; Fungi - 5; Plants - 100; Viruses - 0; Other Eukaryotes - 9 (source: NCBI BLink)."
AT1G26340	encodes a member of the cytochromes b5 family of proteins that localizes to the outer envelope of the chloroplast. The C-terminal portion of the protein appears to be capable of inserting into a plant microsomal membrane in vitro.
AT1G27470	"transducin-related / WD-40 repeat protein-related; FUNCTIONS IN: nucleotide binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: WD40 repeat-like (InterPro:IPR011046), Cytochrome cd1-nitrite reductase-like, C-terminal haem d1 (InterPro:IPR011048), WD40 repeat, region (InterPro:IPR017986), WD40 repeat (InterPro:IPR001680), WD40/YVTN repeat-like (InterPro:IPR015943); BEST Arabidopsis thaliana protein match is: transducin family protein / WD-40 repeat family protein (TAIR:AT4G07410.1); Has 6753 Blast hits to 4580 proteins in 346 species: Archae - 8; Bacteria - 2018; Metazoa - 1907; Fungi - 1463; Plants - 459; Viruses - 0; Other Eukaryotes - 898 (source: NCBI BLink)."
AT1G30870	"cationic peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT1G49570.1); Has 3070 Blast hits to 3058 proteins in 234 species: Archae - 0; Bacteria - 0; Metazoa - 2; Fungi - 288; Plants - 2733; Viruses - 0; Other Eukaryotes - 47 (source: NCBI BLink)."
AT1G32710	"cytochrome c oxidase subunit VIb family; FUNCTIONS IN: cytochrome-c oxidase activity; LOCATED IN: mitochondrion; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase, subunit VIb (InterPro:IPR003213); BEST Arabidopsis thaliana protein match is: COX6B (CYTOCHROME C OXIDASE 6B); cytochrome-c oxidase (TAIR:AT1G22450.1); Has 282 Blast hits to 282 proteins in 98 species: Archae - 0; Bacteria - 0; Metazoa - 119; Fungi - 74; Plants - 84; Viruses - 0; Other Eukaryotes - 5 (source: NCBI BLink)."
AT1G33785	"Cytochrome B6, pseudogene, similar to Cytochrome B6. (Mouse-ear cress) {Arabidopsis thaliana}; blastp match of 61% identity and 7.1e-17 P-value to GP|2959637|gb|AAC05628.1||AF001491 cytochrome b6 {Prochlorococcus marinus str. MIT 9303}"
AT1G34510	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT4G26010.1); Has 2761 Blast hits to 2746 proteins in 191 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 75; Plants - 2648; Viruses - 0; Other Eukaryotes - 38 (source: NCBI BLink)."
AT1G44970	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: 17 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT2G18150.1); Has 2983 Blast hits to 2968 proteins in 234 species: Archae - 0; Bacteria - 10; Metazoa - 2; Fungi - 131; Plants - 2790; Viruses - 0; Other Eukaryotes - 50 (source: NCBI BLink)."
AT1G48510	cytochrome c oxidase assembly protein surfeit-related; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Surfeit locus 1 (InterPro:IPR002994); BEST Arabidopsis thaliana protein match is: SURF1 (SURFEIT 1) (TAIR:AT3G17910.1); Has 287 Blast hits to 287 proteins in 59 species: Archae - 0; Bacteria - 14; Metazoa - 54; Fungi - 21; Plants - 20; Viruses - 0; Other Eukaryotes - 178 (source: NCBI BLink).
AT1G49380	cytochrome c biogenesis protein family; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: cytochrome complex assembly; LOCATED IN: chloroplast; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: ResB-like (InterPro:IPR007816); Has 930 Blast hits to 928 proteins in 301 species: Archae - 0; Bacteria - 569; Metazoa - 2; Fungi - 0; Plants - 24; Viruses - 0; Other Eukaryotes - 335 (source: NCBI BLink).
AT1G49570	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: leaf lamina base, leaf whorl, sepal, hypocotyl, root; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT5G06730.1); Has 3108 Blast hits to 3092 proteins in 239 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 266; Plants - 2791; Viruses - 0; Other Eukaryotes - 47 (source: NCBI BLink)."
AT1G50170	encodes sirohydrochlorin ferrochelatase catalyzing the last step of the siroheme biosynthesis
AT1G50550	a cytochrome P450 pseudogene
AT1G52360	"coatomer protein complex, subunit beta 2 (beta prime), putative; FUNCTIONS IN: protein binding, structural molecule activity; INVOLVED IN: intracellular protein transport, vesicle-mediated transport; LOCATED IN: membrane coat, COPI vesicle coat; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Coatomer, WD associated region (InterPro:IPR006692), Cytochrome cd1-nitrite reductase-like, C-terminal haem d1 (InterPro:IPR011048), WD40 repeat (InterPro:IPR001680), WD40 repeat-like (InterPro:IPR011046), WD40 repeat, region (InterPro:IPR017986), Coatomer, beta&apos; subunit (InterPro:IPR016453), WD40/YVTN repeat-like (InterPro:IPR015943); BEST Arabidopsis thaliana protein match is: coatomer protein complex, subunit beta 2 (beta prime), putative (TAIR:AT3G15980.3); Has 57972 Blast hits to 24958 proteins in 644 species: Archae - 48; Bacteria - 5666; Metazoa - 27314; Fungi - 11164; Plants - 5401; Viruses - 42; Other Eukaryotes - 8337 (source: NCBI BLink)."
AT1G52710	"cytochrome c oxidase-related; FUNCTIONS IN: cytochrome-c oxidase activity; INVOLVED IN: biological_process unknown; LOCATED IN: mitochondrial envelope; CONTAINS InterPro DOMAIN/s: Cytochrome c oxidase, subunit Vb (InterPro:IPR002124); BEST Arabidopsis thaliana protein match is: cytochrome c oxidase family protein (TAIR:AT3G15640.2); Has 219 Blast hits to 219 proteins in 64 species: Archae - 0; Bacteria - 0; Metazoa - 121; Fungi - 17; Plants - 49; Viruses - 0; Other Eukaryotes - 32 (source: NCBI BLink)."
AT1G57740	"pseudogene, putative cytochrome P450, blastp match of 77% identity and 2.0e-12 P-value to GP|8096593|dbj|BAA96166.1||AP002092 unnamed protein product {Oryza sativa (japonica cultivar-group)}"
AT1G58260	member of CYP79C subfamily of cytochrome p450s. Encodes a putative xylan endohydrolase. similar to some closely linked pseudogenes.
AT1G58265	"cytochrome P450-related; FUNCTIONS IN: electron carrier activity, monooxygenase activity, iron ion binding, heme binding; INVOLVED IN: biological_process unknown; LOCATED IN: cellular_component unknown; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, E-class, group I (InterPro:IPR002401); BEST Arabidopsis thaliana protein match is: CYP79C2 (CYTOCHROME P450 79C2); electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding (TAIR:AT1G58260.1); Has 3334 Blast hits to 3333 proteins in 298 species: Archae - 0; Bacteria - 18; Metazoa - 424; Fungi - 29; Plants - 2847; Viruses - 0; Other Eukaryotes - 16 (source: NCBI BLink)."
AT1G58300	Encodes a member (HO4) of the heme oxygenase family.
AT1G59840	COFACTOR ASSEMBLY OF COMPLEX C (CCB4); FUNCTIONS IN: molecular_function unknown; INVOLVED IN: cytochrome b6f complex assembly; LOCATED IN: chloroplast; EXPRESSED IN: 20 plant structures; EXPRESSED DURING: 13 growth stages; Has 218 Blast hits to 218 proteins in 60 species: Archae - 0; Bacteria - 97; Metazoa - 0; Fungi - 0; Plants - 26; Viruses - 0; Other Eukaryotes - 95 (source: NCBI BLink).
AT1G60660	member of Cytochromes b5
AT1G62020	"coatomer protein complex, subunit alpha, putative; FUNCTIONS IN: protein binding, structural molecule activity, transporter activity; INVOLVED IN: intracellular protein transport, vesicle-mediated transport, ER to Golgi vesicle-mediated transport; LOCATED IN: COPI vesicle coat, plasma membrane, CUL4 RING ubiquitin ligase complex, membrane; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Coatomer, WD associated region (InterPro:IPR006692), Cytochrome cd1-nitrite reductase-like, C-terminal haem d1 (InterPro:IPR011048), WD40 repeat (InterPro:IPR001680), WD40 repeat-like (InterPro:IPR011046), WD40 repeat, region (InterPro:IPR017986), WD40/YVTN repeat-like (InterPro:IPR015943), Coatomer, alpha subunit (InterPro:IPR016391), Coatomer, alpha subunit, C-terminal (InterPro:IPR010714); BEST Arabidopsis thaliana protein match is: coatomer protein complex, subunit alpha, putative (TAIR:AT2G21390.1); Has 57996 Blast hits to 22179 proteins in 591 species: Archae - 44; Bacteria - 5747; Metazoa - 27691; Fungi - 10853; Plants - 5420; Viruses - 0; Other Eukaryotes - 8241 (source: NCBI BLink)."
AT1G63710	Encodes a member of the CYP86A subfamily of cytochrome p450 genes. Expressed at highest level in mature stems and flowers.
AT1G64600	"copper ion binding / methyltransferase; FUNCTIONS IN: methyltransferase activity, copper ion binding; INVOLVED IN: translation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Ribosomal protein Rsm22, bacterial-type (InterPro:IPR015324), Cytochrome c oxidase assembly protein CtaG/Cox11 (InterPro:IPR007533); Has 507 Blast hits to 475 proteins in 172 species: Archae - 0; Bacteria - 86; Metazoa - 194; Fungi - 111; Plants - 18; Viruses - 0; Other Eukaryotes - 98 (source: NCBI BLink)."
AT1G64900	Encodes cytochrome P450 (CYP89A2).
AT1G65670	a member of the cytochrome P450 gene family. molecular function unknown.
AT1G66030	encodes a protein with cytochrome P450 domain
AT1G66540	"cytochrome P450, putative; FUNCTIONS IN: electron carrier activity, monooxygenase activity, iron ion binding, oxygen binding, heme binding; EXPRESSED IN: 21 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, C-terminal region (InterPro:IPR017973), Cytochrome P450, conserved site (InterPro:IPR017972), Cytochrome P450, E-class, group I (InterPro:IPR002401); BEST Arabidopsis thaliana protein match is: CYP81D3; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding (TAIR:AT4G37340.1); Has 25517 Blast hits to 25456 proteins in 1395 species: Archae - 32; Bacteria - 3643; Metazoa - 10295; Fungi - 4653; Plants - 5523; Viruses - 3; Other Eukaryotes - 1368 (source: NCBI BLink)."
AT1G68850	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; EXPRESSED IN: hypocotyl, root; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT4G36430.1); Has 2864 Blast hits to 2849 proteins in 205 species: Archae - 0; Bacteria - 4; Metazoa - 2; Fungi - 91; Plants - 2736; Viruses - 0; Other Eukaryotes - 31 (source: NCBI BLink)."
AT1G69500	"electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding; FUNCTIONS IN: electron carrier activity, monooxygenase activity, iron ion binding, oxygen binding, heme binding; INVOLVED IN: pollen exine formation; LOCATED IN: cellular_component unknown; EXPRESSED IN: 7 plant structures; EXPRESSED DURING: 4 anthesis, petal differentiation and expansion stage, E expanded cotyledon stage; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, C-terminal region (InterPro:IPR017973), Cytochrome P450, E-class, group I (InterPro:IPR002401); BEST Arabidopsis thaliana protein match is: CYP704A2; electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding (TAIR:AT2G45510.1); Has 17750 Blast hits to 17696 proteins in 1003 species: Archae - 19; Bacteria - 1369; Metazoa - 8157; Fungi - 3231; Plants - 4336; Viruses - 3; Other Eukaryotes - 635 (source: NCBI BLink)."
AT1G69720	Encodes a member (HO3) of the heme oxygenase family.
AT1G71695	"peroxidase 12 (PER12) (P12) (PRXR6); FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: cell wall, vacuole, membrane, plant-type cell wall; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: peroxidase, putative (TAIR:AT4G08770.1); Has 2948 Blast hits to 2932 proteins in 213 species: Archae - 0; Bacteria - 4; Metazoa - 0; Fungi - 154; Plants - 2760; Viruses - 0; Other Eukaryotes - 30 (source: NCBI BLink)."
AT1G73340	"electron carrier/ heme binding / iron ion binding / monooxygenase/ oxygen binding; FUNCTIONS IN: electron carrier activity, monooxygenase activity, iron ion binding, oxygen binding, heme binding; EXPRESSED IN: root; CONTAINS InterPro DOMAIN/s: Cytochrome P450 (InterPro:IPR001128), Cytochrome P450, E-class, group IV (InterPro:IPR002403), Cytochrome P450, C-terminal region (InterPro:IPR017973), Cytochrome P450, conserved site (InterPro:IPR017972); BEST Arabidopsis thaliana protein match is: DWF4 (DWARF 4); steroid 22-alpha hydroxylase (TAIR:AT3G50660.1); Has 21673 Blast hits to 21619 proteins in 1178 species: Archae - 49; Bacteria - 2632; Metazoa - 9692; Fungi - 3451; Plants - 4758; Viruses - 3; Other Eukaryotes - 1088 (source: NCBI BLink)."
AT1G73680	"pathogen-responsive alpha-dioxygenase, putative; FUNCTIONS IN: oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress, response to other organism; LOCATED IN: cellular_component unknown; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Haem peroxidase, animal (InterPro:IPR002007); BEST Arabidopsis thaliana protein match is: DOX1; lipoxygenase (TAIR:AT3G01420.1); Has 1400 Blast hits to 1275 proteins in 179 species: Archae - 0; Bacteria - 83; Metazoa - 1124; Fungi - 110; Plants - 40; Viruses - 3; Other Eukaryotes - 40 (source: NCBI BLink)."
AT1G77100	"peroxidase, putative; FUNCTIONS IN: electron carrier activity, peroxidase activity, heme binding; INVOLVED IN: response to oxidative stress; LOCATED IN: endomembrane system; CONTAINS InterPro DOMAIN/s: Haem peroxidase (InterPro:IPR010255), Plant peroxidase (InterPro:IPR000823), Haem peroxidase, plant/fungal/bacterial (InterPro:IPR002016); BEST Arabidopsis thaliana protein match is: cationic peroxidase, putative (TAIR:AT4G25980.1); Has 2838 Blast hits to 2823 proteins in 204 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 134; Plants - 2678; Viruses - 0; Other Eukaryotes - 26 (source: NCBI BLink)."
