AGI code	Annotation
AT1G18970	"Encodes a germin-like protein with possible oxalate oxidase activity (based on GenBank record). F14D16.12; F14D16_12; GERMIN-LIKE PROTEIN 4; GLP4        manganese ion binding, endomembrane system, nutrient reservoir activity, apoplast, root        true"
AT1G18980	"germin-like protein, putative; FUNCTIONS IN: manganese ion binding, nutrient reservoir activity; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system, apoplast; EXPRESSED IN: inflorescence meristem, hypocotyl, flower, root, pollen tube; EXPRESSED DURING: petal differentiation and expansion stage; CONTAINS InterPro DOMAIN/s: Cupin, RmlC-type (InterPro:IPR011051), Cupin 1 (InterPro:IPR006045), Germin (InterPro:IPR001929), RmlC-like jelly roll fold (InterPro:IPR014710); BEST Arabidopsis thaliana protein match is: GLP4 (GERMIN-LIKE PROTEIN 4); manganese ion binding / nutrient reservoir (TAIR:AT1G18970.1); Has 892 Blast hits to 887 proteins in 90 species: Archae - 0; Bacteria - 42; Metazoa - 0; Fungi - 22; Plants - 817; Viruses - 0; Other Eukaryotes - 11 (source: NCBI BLink).       F14D16.13; F14D16_13     manganese ion binding, endomembrane system, nutrient reservoir activity, apoplast, biological process unknown, flower, hypocotyl, inflorescence meristem, petal differentiation and expansion stage, pollen tube, root true"
AT1G20620	"Catalase, catalyzes the breakdown of hydrogen peroxide (H2O2) into water and oxygen.    ATCAT3; CAT3; CATALASE 3; F5M15.5; F5M15_5; SEN2; SENESCENCE 2   cell wall, chloroplast, chloroplast stroma, membrane, peroxisome, plasma membrane, vacuole, chloroplast envelope, response to cadmium ion, apoplast, cotyledon, leaf, cultured cell, seedling growth, cytosolic ribosome, 4 anthesis, 4 leaf senescence stage, C globular stage, C senescence, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, L mature pollen stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, M germinated pollen stage, carpel, catalase activity, cauline leaf, cellular response to nitrogen starvation, cellular response to phosphate starvation, cellular response to sulfate starvation, cobalt ion binding, cotyledon, embryo, flower, guard cell, hydrogen peroxide catabolic process, hypocotyl, inflorescence, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, mitochondrion, pedicel, peroxisome, petal, petal differentiation and expansion stage, petiole, phloem, pollen tube, response to cold, response to light stimulus, root, seed, sepal, shoot, shoot apex, sperm cell, stamen, stem, vascular bundle   true"
AT1G43900	"protein phosphatase 2C, putative / PP2C, putative; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: protein serine/threonine phosphatase complex; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: WIN2 (HOPW1-1-INTERACTING 2); protein serine/threonine phosphatase (TAIR:AT4G31750.1); Has 5122 Blast hits to 5040 proteins in 519 species: Archae - 2; Bacteria - 723; Metazoa - 1403; Fungi - 557; Plants - 1322; Viruses - 9; Other Eukaryotes - 1106 (source: NCBI BLink).     F9C16.6; F9C16_6         protein serine/threonine phosphatase complex, catalytic activity, protein serine/threonine phosphatase activity, protein amino acid dephosphorylation, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, carpel, cauline leaf, cotyledon, embryo, flower, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, petiole, protein serine/threonine phosphatase a"
AT1G48040	"catalytic/ protein serine/threonine phosphatase; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: protein serine/threonine phosphatase complex; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C, N-terminal (InterPro:IPR014045), Protein phosphatase 2C (InterPro:IPR015655); BEST Arabidopsis thaliana protein match is: protein phosphatase 2C-related / PP2C-related (TAIR:AT3G17250.1); Has 4299 Blast hits to 4267 proteins in 263 species: Archae - 3; Bacteria - 65; Metazoa - 1416; Fungi - 503; Plants - 1326; Viruses - 9; Other Eukaryotes - 977 (source: NCBI BLink).      T2J15.5  protein serine/threonine phosphatase complex, catalytic activity, protein serine/threonine phosphatase activity, protein amino acid dephosphorylation, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, L mature pollen stage, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, M germinated pollen stage, carpel, cauline leaf, embryo, flower, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, petiole, pollen tube, protein serine/threonine phosphatase activity, root,"
AT1G67740	"PsbY precursor (psbY) mRNA. This single nuclear gene is imported into the chloroplasts where it is processed into two integral membrane proteins with identical topology (PsbY-1 and PsbY-2). The protein appears to bind manganese but its role is not well understood.        F12A21.13; F12A21_13; PHOTOSYSTEM II BY; PSBY; YCF32     chloroplast thylakoid membrane, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, L mature pollen stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, carpel, cauline leaf, chloroplast photosystem II, chloroplast stromal thylakoid, cotyledon, embryo, flower, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, petiole, photosynthesis, photosystem II, root, seed, sepal, shoot, shoot apex, stamen, stem   true"
AT1G67820	"protein phosphatase 2C, putative / PP2C, putative; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation; LOCATED IN: protein serine/threonine phosphatase complex; EXPRESSED IN: 18 plant structures; EXPRESSED DURING: 7 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C, N-terminal (InterPro:IPR014045), Protein phosphatase 2C (InterPro:IPR015655); BEST Arabidopsis thaliana protein match is: protein phosphatase 2C, putative / PP2C, putative (TAIR:AT2G30020.1); Has 4464 Blast hits to 4328 proteins in 256 species: Archae - 0; Bacteria - 49; Metazoa - 1495; Fungi - 549; Plants - 1358; Viruses - 9; Other Eukaryotes - 1004 (source: NCBI BLink).        F12A21.5; F12A21_5       protein serine/threonine phosphatase complex, catalytic activity, protein serine/threonine phosphatase activity, protein amino acid dephosphorylation, cultured cell, 4 anthesis, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.04 four leaves visible, carpel, cauline leaf, egg cell, embryo, flower, hypocotyl, inflorescence meristem, leaf, leaf lamina base, leaf whorl, pedicel, petal, petal differentiation and expansion stage, protein serine/threonine phosphatase activity, root, seed, sepal, shoot apex, stamen, stem      true"
AT1G74820	"cupin family protein; FUNCTIONS IN: manganese ion binding, nutrient reservoir activity; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system, apoplast; EXPRESSED IN: sepal; EXPRESSED DURING: 4 anthesis; CONTAINS InterPro DOMAIN/s: Cupin, RmlC-type (InterPro:IPR011051), Cupin 1 (InterPro:IPR006045), RmlC-like jelly roll fold (InterPro:IPR014710), Germin (InterPro:IPR001929); BEST Arabidopsis thaliana protein match is: germin-like protein, putative (TAIR:AT1G18980.1); Has 895 Blast hits to 888 proteins in 97 species: Archae - 0; Bacteria - 54; Metazoa - 0; Fungi - 22; Plants - 812; Viruses - 0; Other Eukaryotes - 7 (source: NCBI BLink).  F9E10.33; F9E10_33       manganese ion binding, endomembrane system, nutrient reservoir activity, apoplast, 4 anthesis, biological process unknown, sepal       true"
AT1G80830	"AtNRAMP1 Mn uptake system. Induced in leaves in response to iron deficiency. Transgenic plants accumulate toxic levels of iron. Gene complements yeast iron uptake mutants.    ATNRAMP1; F23A5.18; F23A5_18; NATURAL RESISTANCE-ASSOCIATED MACROPHAGE PROTEIN 1; NRAMP1; PMIT1  4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, cadmium ion transport, carpel, cauline leaf, cellular metal ion homeostasis, cotyledon, embryo, flower, hypocotyl, inflorescence meristem, inorganic anion transmembrane transporter activity, iron ion transmembrane transport, iron ion transmembrane transporter activity, lead ion transport, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, manganese ion homeostasis, manganese ion transmembrane transporter activity, manganese ion transport, metal ion transmembrane transporter activity, metal ion transport, pedicel, petal, petal differentiation and expansion stage, petiole, plasma membrane, primary root elongation zone, root, seed, sepal, shoot, shoot apex, sperm cell, stamen, stem   true"
AT2G20050	"ATP binding / cAMP-dependent protein kinase regulator/ catalytic/ protein kinase/ protein serine/threonine phosphatase; FUNCTIONS IN: cAMP-dependent protein kinase regulator activity, protein kinase activity, protein serine/threonine phosphatase activity, catalytic activity, ATP binding; INVOLVED IN: protein amino acid phosphorylation, protein amino acid dephosphorylation, N-terminal protein myristoylation, regulation of protein amino acid phosphorylation; LOCATED IN: plasma membrane; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Cyclic nucleotide-binding (InterPro:IPR000595), cAMP/cGMP-dependent protein kinase (InterPro:IPR002373), Protein phosphatase 2C-related (InterPro:IPR001932), Serine/threonine protein kinase-related (InterPro:IPR017442), Protein kinase-like (InterPro:IPR011009), Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein kinase, core (InterPro:IPR000719), Cyclic nucleotide-binding-like (InterPro:IPR018490), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045), RmlC-like jelly roll fold (InterPro:IPR014710); BEST Arabidopsis thaliana protein match is: protein phosphatase 2C, putative / PP2C, putative (TAIR:AT3G06270.1); Has 47754 Blast hits to 46925 proteins in 1357 species: Archae - 17; Bacteria - 4246; Metazoa - 21070; Fungi - 5337; Plants - 5628; Viruses - 191; Other Eukaryotes - 11265 (source: NCBI BLink).  T2G17.15; T2G17_15       plasma membrane, ATP binding, cAMP-dependent protein kinase regulator activity, catalytic activity, p"
AT2G23150	"AtNramp3; Encodes a member of the Nramp2 metal transporter family; like its homolog Atnramp4, localized in vacuolar membrane. Seedlings of double mutant, atnramp3-1 atnramp4-1, were arrested at early germination.      ATNRAMP3; NATURAL RESISTANCE-ASSOCIATED MACROPHAGE PROTEIN 3; NRAMP3; T20D16.22; T20D16_22       plasma membrane, vacuole, cultured cell, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, cadmium ion transport, carpel, cauline leaf, cellular metal ion homeostasis, cotyledon, defense response to bacterium, embryo, flower, hypocotyl, inflorescence meristem, inorganic anion transmembrane transporter activity, iron ion homeostasis, lead ion transport, leaf, leaf apex, leaf lamina base, leaf vascular system, leaf whorl, male gametophyte, manganese ion transmembrane transporter activity, manganese ion transport, metal ion transmembrane transporter activity, metal ion transport, pedicel, petal, petal differentiation and expansion stage, petiole, pollen tube, positive regulation of oxygen and reactive oxygen species metabolic process, response to bacterium, response to zinc ion, root, root stele, seed, sepal, shoot, shoot apex, stamen, stem, stem vascular system, vacuolar membrane        false"
AT2G24200	"cytosol aminopeptidase; FUNCTIONS IN: manganese ion binding, metalloexopeptidase activity, aminopeptidase activity; INVOLVED IN: response to cadmium ion, proteolysis; LOCATED IN: vacuole; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Peptidase M17, leucyl aminopeptidase, C-terminal (InterPro:IPR000819), Peptidase M17, leucyl aminopeptidase, N-terminal (InterPro:IPR008283), Peptidase M17, leucyl aminopeptidase (InterPro:IPR011356); BEST Arabidopsis thaliana protein match is: cytosol aminopeptidase family protein (TAIR:AT4G30920.1); Has 7373 Blast hits to 7371 proteins in 1220 species: Archae - 15; Bacteria - 3177; Metazoa - 613; Fungi - 19; Plants - 75; Viruses - 0; Other Eukaryotes - 3474 (source: NCBI BLink).    F27D4.11; F27D4_11       vacuole, aminopeptidase activity, metalloexopeptidase activity, manganese ion binding, response to cadmium ion, fruit, seed, leaf, cultured cell, seedling growth, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, aminopeptidase activity, carpel, cauline leaf, cotyledon, embryo, flower, guard cell, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, petiole, proteolysis, root, seed, sepal, shoot, shoot apex, stamen, stem        true"
AT2G25070	"protein phosphatase 2C, putative / PP2C, putative; FUNCTIONS IN: protein serine/threonine phosphatase activity, catalytic activity; INVOLVED IN: protein amino acid dephosphorylation, N-terminal protein myristoylation; LOCATED IN: plasma membrane; EXPRESSED IN: 23 plant structures; EXPRESSED DURING: 13 growth stages; CONTAINS InterPro DOMAIN/s: Protein phosphatase 2C,  manganese/magnesium aspartate binding site (InterPro:IPR000222), Protein phosphatase 2C-related (InterPro:IPR001932), Protein phosphatase 2C (InterPro:IPR015655), Protein phosphatase 2C, N-terminal (InterPro:IPR014045); BEST Arabidopsis thaliana protein match is: protein phosphatase 2C, putative / PP2C, putative (TAIR:AT4G31860.1); Has 4621 Blast hits to 4451 proteins in 318 species: Archae - 2; Bacteria - 169; Metazoa - 1530; Fungi - 544; Plants - 1338; Viruses - 7; Other Eukaryotes - 1031 (source: NCBI BLink).        F13D4.1  plasma membrane, catalytic activity, protein serine/threonine phosphatase activity, protein amino acid dephosphorylation, N-terminal protein myristoylation, 4 anthesis, 4 leaf senescence stage, C globular stage, D bilateral stage, E expanded cotyledon stage, F mature embryo stage, LP.02 two leaves visible, LP.04 four leaves visible, LP.06 six leaves visible, LP.08 eight leaves visible, LP.10 ten leaves visible, LP.12 twelve leaves visible, carpel, cauline leaf, cotyledon, embryo, flower, hypocotyl, inflorescence meristem, leaf, leaf apex, leaf lamina base, leaf whorl, male gametophyte, pedicel, petal, petal differentiation and expansion stage, petiole, pollen tube, protein serine/threonine phosphatase activi"
AT2G27210	"BRI1 SUPPRESSOR 1 (BSU1)-LIKE 3 (BSL3); FUNCTIONS IN: hydrolase activity, manganese ion binding, protein serine/threonine phosphatase activity, phosphoprotein phosphatase activity, iron ion binding; INVOLVED IN: biological_process unknown; LOCATED IN: cytosol, plasma membrane; EXPRESSED IN: guard cell, cultured cell; CONTAINS InterPro DOMAIN/s: Metallophosphoesterase (InterPro:IPR004843), Kelch repeat type 1 (InterPro:IPR006652), Galactose oxidase/kelch, beta-propeller (InterPro:IPR011043), Kelch repeat type 2 (InterPro:IPR011498), Serine/threonine protein phosphatase, BSU1 (InterPro:IPR012391), Kelch-type beta propeller (InterPro:IPR015915), Serine/threonine-specific protein phosphatase and bis(5-nucleosyl)-tetraphosphatase (InterPro:IPR006186); BEST Arabidopsis thaliana protein match is: kelch repeat-containing protein / serine/threonine phosphoesterase family protein (TAIR:AT1G08420.1); Has 8485 Blast hits to 6970 proteins in 411 species: Archae - 51; Bacteria - 250; Metazoa - 3427; Fungi - 1247; Plants - 1388; Viruses - 3; Other Eukaryotes - 2119 (source: NCBI BLink).        BRI1 SUPPRESSOR 1 (BSU1)-LIKE 3; BSL3; T22O13.2; T22O13_2        plasma membrane, hydrolase activity, iron ion binding, phosphoprotein phosphatase activity, manganese ion binding, cultured cell, biological process unknown, cytosol, guard cell, protein serine/threonine phosphatase activity       false"
